epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4865,0.81786,1.83934,1.29863,0.00598,0.00324,0.00088,0.00016,4.21968,4.01104,8.93713,0.0704,0.00328889,0.00328889
2,51.3559,0.85106,1.38753,1.30447,0.01396,0.13077,0.01087,0.0025,2.58625,5.23368,7.33425,0.0402689,0.0064911,0.0064911
3,64.2941,0.85858,1.34663,1.30195,0.29485,0.6004,0.33416,0.1771,1.19156,2.15826,2.12829,0.0100058,0.00956132,0.00956132
4,76.9118,0.78336,1.27035,1.24658,0.09506,0.55055,0.10786,0.03004,2.68495,2.68373,5.03008,0.009406,0.009406,0.009406
5,89.5015,0.78249,1.23349,1.25286,0.42011,0.58481,0.42467,0.26911,1.10736,1.94424,1.80532,0.009208,0.009208,0.009208
6,102.082,0.71646,1.1547,1.18899,0.5126,0.63834,0.45543,0.31543,0.89105,1.70231,1.58198,0.00901,0.00901,0.00901
7,114.665,0.67368,1.13525,1.17452,0.41762,0.75961,0.57031,0.48293,0.5718,1.30823,1.19799,0.008812,0.008812,0.008812
8,127.243,0.63047,1.07258,1.12943,0.47443,0.89199,0.66221,0.54679,0.69213,1.04209,1.43352,0.008614,0.008614,0.008614
9,139.848,0.60404,1.03617,1.11971,0.52946,0.68164,0.42087,0.34229,0.65402,2.0658,1.32094,0.008416,0.008416,0.008416
10,152.587,0.59115,0.99382,1.10976,0.50894,0.83359,0.691,0.60682,0.48938,1.66424,1.08701,0.008218,0.008218,0.008218
11,165.167,0.57467,0.96077,1.10657,0.69166,0.78064,0.76069,0.65744,0.5116,0.97685,1.13813,0.00802,0.00802,0.00802
12,177.747,0.56693,0.92424,1.10608,0.57828,0.62594,0.58482,0.42445,0.8963,1.44433,1.76863,0.007822,0.007822,0.007822
